Fold,Akurasi,Presisi,Recall,F1-Score
1,0.9845,0.9848,0.9846,0.9845
2,0.9843,0.9844,0.9844,0.9843
3,0.9732,0.9739,0.9733,0.9729
4,0.9821,0.9825,0.9820,0.9819
5,0.9799,0.9801,0.9798,0.9797
6,0.9843,0.9846,0.9843,0.9842
7,0.9664,0.9670,0.9664,0.9660
8,0.9686,0.9687,0.9687,0.9686
9,0.9798,0.9799,0.9798,0.9797
10,0.9664,0.9666,0.9663,0.9661
